YieldStress,UTS,Modulus,FailureStress
594.7877259,811.228107,13453.09105,608.0986409
534.38177,795.2555564,16869.74224,679.6116505
562.5,766.9891667,16578.97635,682.5
526.5557328,781.0561507,13056.88878,614.694932
595.5702825,750.5005232,15585.5491,597.3142658
544.8717949,822.4166667,12585.75474,695.5128205
646.5279057,807.1293056,15962.31926,739.5468779
632.4786325,818.9155983,19358.65307,652.7777778
572.1632915,754.7757956,15431.48679,707.1681131
608.9015152,808.9592803,21122.11732,646.780303
554.6869183,577.6442558,17114.28023,642.5433698
522.5488152,767.9209228,15020.23453,648.3218678
559.6125186,761.9418778,17060.96546,638.5991058
544.3285528,820.136897,14484.21698,673.0769231
591.6666667,773.9375,16207.61144,727.5
599.078341,804.3194536,15072.95303,703.5878868
587.3755367,761.7913584,14575.41479,597.4239518
614.2611684,830.492268,16243.56725,703.6082474
602.035048,800.5360844,19298.22716,623.7045412
584.7781369,740.1498678,16446.53229,639.6316975
576.3589301,793.2234685,15548.94102,795.5133736
578.6860199,802.3071047,14528.87585,670.3590527
579.4846864,780.1020904,16516.49788,706.8546427
523.6009045,782.4399378,14125.7456,635.2459016
535.41886,798.2929764,14329.39331,653.4817266
565.4598288,807.7381607,14539.8616,590.5913767
543.5301608,750.3207067,13518.39731,646.9839249
572.8407065,796.4738292,15199.96544,604.4401232
591.954023,788.6024904,16601.42362,656.1302682
566.3035312,787.6361758,17710.62544,570.9992487
561.0759811,774.5237378,17396.25239,576.1316872
589.5015731,797.0632555,16182.92809,603.5767511
572.859745,789.3233151,15280.05403,712.2040073
611.7602356,771.2330199,15154.56777,629.8090624
388.2657463,649.4063848,12641.41546,520.2761001
211.6065752,674.7370811,9122.346653,478.6122968
471.5417204,702.2987659,11518.26447,515.7487567
396.8864117,647.4822218,12917.60476,473.7651355
451.1424404,716.7301896,14505.79379,557.1220224
479.1666667,702.9375,14267.92031,503.7878788
399.9240049,670.4255723,12646.56851,502.5173364
473.4848485,700.3636364,13894.90279,510.4166667
477.5280899,699.9026217,13600.47041,544.0074906
414.0930839,669.2474989,13099.78084,450.630709
464.9859944,713.6423903,11861.33036,547.1521942
468.2494818,668.0243075,12965.70276,537.9687206
405.6370215,694.541992,12724.15183,511.331175
475.9036145,699.6746988,14067.37433,580.3212851
420.2898551,655.0416667,15310.75783,457.4275362
452.6234865,663.6882568,12601.95688,552.5658274
464.6733955,722.1833936,12439.28276,562.7499524
406.4151631,710.1968289,11949.69595,506.6520868
419.2281421,695.0230533,12048.17964,467.0423497
476.5917603,705.4691011,13959.37577,517.7902622
433.1222057,698.0448957,13422.12881,439.6423249
345.367471,595.2532695,11250.77163,366.5500092
462.9363941,670.4265901,14646.69098,528.9335246
447.1418197,694.0844486,13449.53998,482.4151883
364.195231,611.6151267,11935.94154,448.9567809
439.8148148,704.0777778,12719.89758,459.2592593
540.2298851,693.4195402,18865.25411,632.183908
496.6386555,751.992437,13366.25629,596.6386555
510.6568073,756.3427577,14863.58825,524.5759026
550.8474576,793.4432572,16373.46267,659.5431098
535.3620738,779.201653,14336.31737,679.0645252
449.4855794,716.2042503,13245.40281,541.4066453
527.7214957,708.9721864,12582.49562,590.3481304
490.4274849,704.947985,14471.58455,563.8604773
552.3080024,756.7395686,19105.77564,632.9369079
479.8728814,751.282839,14736.63312,490.4661017
513.2265276,745.5178838,14041.94688,550.4843517
489.7131266,751.894137,13870.50701,590.1671013
475.7866968,692.4203882,12095.75491,569.0597324
497.8627106,694.5193194,14361.69056,664.6551002
519.1256831,734.1283272,16534.28287,594.923321
470.6394084,768.3810352,14692.25006,644.6280992
534.0811044,736.7256255,17294.52664,578.9473684
514.0014738,747.9578113,15466.34563,598.7472366
526.3675718,734.6517119,16374.01601,611.9637938
530.9373086,777.2360629,20411.22644,616.7041046
535.7856857,738.5615754,11074.1908,562.77489
585.4148082,773.7388492,14604.58443,666.8153434
472.9662451,753.2998108,16571.29331,589.4652992
525.4065041,738.2256098,15562.10916,590.4471545
542.9732869,714.5741386,19786.34247,611.6918312
480.5967331,720.5183646,15667.36999,572.1839298
469.8167445,712.6967301,14286.71863,572.2242185
577.6140855,786.07977,16100.20303,697.0894718
540.7986111,749.2821181,17940.91489,608.5069444
517.0538804,744.3638161,15725.0074,572.4172022
511.1723294,707.8696051,12158.88005,513.2129375
481.9277108,713.3483936,9392.850918,528.1124498
576.3933037,746.0002119,18311.76938,699.3006993
589.9482312,736.4387403,15931.29203,616.9111303
527.5325767,753.943884,15626.28268,622.1101303
568.0510514,776.5425254,18698.09363,733.3403076
540.625,779.5083333,15079.23343,632.2916667
